Dissolved_Oxygen,Temperature,pH,Plant_Type
9,13.5,7,"Cool, Neutral Stream with High Oxygen"
8,24.3,7,"Hot, Neutral Pond with High Oxygen"
7,5,7,"Cold, Neutral River with Moderate Oxygen"
7,8,7,"Cold, Neutral River with Moderate Oxygen"
8,14,7,"Cool, Neutral Stream with High Oxygen"
7,8,7,"Cold, Neutral River with Moderate Oxygen"
7,10,7,"Cold, Neutral River with Moderate Oxygen"
8,15,7,"Cool, Neutral Stream with High Oxygen"
7,9,7,"Cold, Neutral River with Moderate Oxygen"
7,6.2,7,"Cold, Neutral River with Moderate Oxygen"
8,22,7,"Hot, Neutral Pond with High Oxygen"
8,14,7,"Cool, Neutral Stream with High Oxygen"
7,6,7,"Cold, Neutral River with Moderate Oxygen"
7,5,7,"Cold, Neutral River with Moderate Oxygen"
7,7.5,7,"Cold, Neutral River with Moderate Oxygen"
8,13,7.1,"Cool, Neutral Stream with High Oxygen"
8.5,15,6.8,"Cool, Neutral Stream with High Oxygen"
3.2,15.2,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.5,6,7,"Cold, Neutral River with Moderate Oxygen"
5,6.5,7,"Cold, Neutral River with Moderate Oxygen"
4.5,10.1,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.7,14.7,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.6,13.1,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.9,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,9.9,6.7,"Cold, Neutral River with Moderate Oxygen"
2.4,18.1,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.8,13,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.3,10.2,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.2,10.3,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.4,12.5,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.6,11.9,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.8,11.3,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.1,10.4,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,30,6.7,"Tropical, Neutral Lake with Moderate Oxygen"
5,30,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
6,25,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,30,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
6,30,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
7,25.3,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5,30,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
6,25,7,"Tropical, Neutral Lake with Moderate Oxygen"
12,10.5,6.1,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
8,10,7.4,"Cool, Neutral Stream with High Oxygen"
5,10,6,"Cool, Acidic River with Moderate Oxygen"
11,10,7.5,"Cool, Neutral Stream with High Oxygen"
13,10,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
7,6,6.6,"Cold, Neutral River with Moderate Oxygen"
12,12,7.5,"Cool, Neutral Stream with High Oxygen"
11,10,6.9,"Cool, Neutral Stream with High Oxygen"
11,10,7.4,"Cool, Neutral Stream with High Oxygen"
14,10,6.3,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
8,13.9,7.3,"Cool, Neutral Stream with High Oxygen"
10,14,7.5,"Cool, Neutral Stream with High Oxygen"
4,17.2,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.8,15.1,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.3,17,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.9,10.1,7.7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2,18.4,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.5,18.8,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,13.8,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.7,9,6,"Cool, Acidic River with Moderate Oxygen"
6.2,13,6,"Cool, Acidic River with Moderate Oxygen"
5,5.7,7.1,"Cold, Neutral River with Moderate Oxygen"
11.3,14,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10,26.7,6.8,"Hot, Neutral Pond with High Oxygen"
2,19,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,23,7,"Hot, Neutral Pond with High Oxygen"
7,24,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
9.3,22.7,7,"Hot, Neutral Pond with High Oxygen"
2,16.2,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,12,7,"Cool, Neutral Stream with High Oxygen"
2.4,10,8.2,"Cold, Alkaline Stream with Very Low Oxygen"
4.5,18.2,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.7,18.7,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9.4,10.8,7,"Cool, Neutral Stream with High Oxygen"
5.5,5.5,7,"Cold, Neutral River with Moderate Oxygen"
12,11,7.5,"Cool, Neutral Stream with High Oxygen"
5.1,23,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.6,22,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
9,12,7,"Cool, Neutral Stream with High Oxygen"
5.1,25,6.2,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5.2,26.7,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.4,26,6.5,"Tropical, Neutral Lake with Moderate Oxygen"
6,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
4.2,20,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.1,26,7,"Tropical, Neutral Lake with Moderate Oxygen"
6.8,25,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.7,25,6.2,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5.4,24.5,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5,30,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
6,25,7,"Tropical, Neutral Lake with Moderate Oxygen"
9.7,12.7,7,"Cool, Neutral Stream with High Oxygen"
6.1,10,7,"Cold, Neutral River with Moderate Oxygen"
10,10.7,7,"Cool, Neutral Stream with High Oxygen"
9.8,13,7,"Cool, Neutral Stream with High Oxygen"
4,16,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,16,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.7,9.3,5.8,"Cool, Acidic River with Moderate Oxygen"
2.3,19.2,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
7,8.7,6,"Cool, Acidic River with Moderate Oxygen"
5.8,10,6,"Cool, Acidic River with Moderate Oxygen"
6,8.6,7,"Cold, Neutral River with Moderate Oxygen"
7,6.9,6.8,"Cold, Neutral River with Moderate Oxygen"
4.8,13.9,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.2,8.1,7.2,"Cold, Neutral River with Moderate Oxygen"
6.2,6.3,7.2,"Cold, Neutral River with Moderate Oxygen"
6.9,10,6.8,"Cold, Neutral River with Moderate Oxygen"
6,9.3,7,"Cold, Neutral River with Moderate Oxygen"
6,6.5,6.8,"Cold, Neutral River with Moderate Oxygen"
6.8,8.6,6.8,"Cold, Neutral River with Moderate Oxygen"
7,5,7,"Cold, Neutral River with Moderate Oxygen"
5.8,8,6.7,"Cold, Neutral River with Moderate Oxygen"
2.8,17,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.3,20,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
7,23,6.6,"Tropical, Neutral Lake with Moderate Oxygen"
2.6,12.5,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.2,12,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.2,13,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.4,13.5,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.6,14,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,20,7.1,"Hot, Neutral Pond with High Oxygen"
4.6,15,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
11.5,12,7.4,"Cool, Neutral Stream with High Oxygen"
12.9,10,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
9.2,14.5,6.8,"Cool, Neutral Stream with High Oxygen"
11.5,17.3,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10,12.5,7,"Cool, Neutral Stream with High Oxygen"
10,12,7,"Cool, Neutral Stream with High Oxygen"
10,11,7,"Cool, Neutral Stream with High Oxygen"
10,12,7,"Cool, Neutral Stream with High Oxygen"
10,12,7,"Cool, Neutral Stream with High Oxygen"
10,14.5,7,"Cool, Neutral Stream with High Oxygen"
10,12,7.5,"Cool, Neutral Stream with High Oxygen"
10,11,7,"Cool, Neutral Stream with High Oxygen"
9.5,13.2,7.1,"Cool, Neutral Stream with High Oxygen"
9.6,11.5,7,"Cool, Neutral Stream with High Oxygen"
9.7,11.7,7.2,"Cool, Neutral Stream with High Oxygen"
10.6,12.4,7,"Cool, Neutral Stream with High Oxygen"
8.3,25.9,7.1,"Hot, Neutral Pond with High Oxygen"
10.2,12.2,6.9,"Cool, Neutral Stream with High Oxygen"
7.8,23.6,7.2,"Hot, Neutral Pond with High Oxygen"
9.5,10.3,7.1,"Cool, Neutral Stream with High Oxygen"
5,10,7,"Cold, Neutral River with Moderate Oxygen"
9,15,7,"Cool, Neutral Stream with High Oxygen"
3,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,10,7,"Cold, Neutral River with Moderate Oxygen"
3,11,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,11,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9.5,10,7,"Cool, Neutral Stream with High Oxygen"
6,9,6.5,"Cold, Neutral River with Moderate Oxygen"
3.1,12,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,12,7,"Cool, Neutral Stream with High Oxygen"
10,14,6.8,"Cool, Neutral Stream with High Oxygen"
3,10,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
11.9,10,7.2,"Cool, Neutral Stream with High Oxygen"
5,11,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,11,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,10,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,10,7,"Cold, Neutral River with Moderate Oxygen"
3,19,7.6,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.5,13,7,"Cool, Neutral Stream with High Oxygen"
5,10,7.2,"Cold, Neutral River with Moderate Oxygen"
9,11,7.3,"Cool, Neutral Stream with High Oxygen"
8,14,7.4,"Cool, Neutral Stream with High Oxygen"
11,10,7.5,"Cool, Neutral Stream with High Oxygen"
10.5,10,7.5,"Cool, Neutral Stream with High Oxygen"
8,11,7.3,"Cool, Neutral Stream with High Oxygen"
3.1,12.4,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8.8,10,7.2,"Cool, Neutral Stream with High Oxygen"
5,8.7,7.1,"Cold, Neutral River with Moderate Oxygen"
5,11.6,7.4,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,14.5,7.5,"Cool, Neutral Stream with High Oxygen"
3.5,11,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10.8,10,7,"Cool, Neutral Stream with High Oxygen"
8,13,6.9,"Cool, Neutral Stream with High Oxygen"
9.3,12,7.4,"Cool, Neutral Stream with High Oxygen"
5,14.6,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10.1,15,7.5,"Cool, Neutral Stream with High Oxygen"
8.8,21.5,7,"Hot, Neutral Pond with High Oxygen"
8.4,24,7,"Hot, Neutral Pond with High Oxygen"
10.1,15,7,"Cool, Neutral Stream with High Oxygen"
8.9,21,7,"Hot, Neutral Pond with High Oxygen"
10.3,14,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.1,15,7.5,"Cool, Neutral Stream with High Oxygen"
10.1,14.8,7,"Cool, Neutral Stream with High Oxygen"
8.7,22,7,"Hot, Neutral Pond with High Oxygen"
10.4,13.5,7.5,"Cool, Neutral Stream with High Oxygen"
8.3,24.5,7,"Hot, Neutral Pond with High Oxygen"
10.1,15,7,"Cool, Neutral Stream with High Oxygen"
10.3,14,7.5,"Cool, Neutral Stream with High Oxygen"
10.3,14,7,"Cool, Neutral Stream with High Oxygen"
8,27,7,"Hot, Neutral Pond with High Oxygen"
10.1,15,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.1,15,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
9.1,20,7,"Hot, Neutral Pond with High Oxygen"
8.1,26.5,7,"Hot, Neutral Pond with High Oxygen"
8.6,23,7,"Hot, Neutral Pond with High Oxygen"
10.4,13.7,7,"Cool, Neutral Stream with High Oxygen"
10.5,13,7.5,"Cool, Neutral Stream with High Oxygen"
8.6,23,7,"Hot, Neutral Pond with High Oxygen"
10.2,14.5,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.1,15,7,"Cool, Neutral Stream with High Oxygen"
10.1,15,7.5,"Cool, Neutral Stream with High Oxygen"
8.9,21,7,"Hot, Neutral Pond with High Oxygen"
8,27,7,"Hot, Neutral Pond with High Oxygen"
8.2,25.5,7,"Hot, Neutral Pond with High Oxygen"
8.9,21,7,"Hot, Neutral Pond with High Oxygen"
8.7,22,7,"Hot, Neutral Pond with High Oxygen"
8,10,7,"Cool, Neutral Stream with High Oxygen"
10,10,7,"Cool, Neutral Stream with High Oxygen"
8,23.3,7.1,"Hot, Neutral Pond with High Oxygen"
10,21.3,7,"Hot, Neutral Pond with High Oxygen"
6,22.4,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
8,15,7.5,"Cool, Neutral Stream with High Oxygen"
8,14,6.8,"Cool, Neutral Stream with High Oxygen"
8,14.3,7.2,"Cool, Neutral Stream with High Oxygen"
8,20.4,7.2,"Hot, Neutral Pond with High Oxygen"
8,21.3,6.8,"Hot, Neutral Pond with High Oxygen"
8,20.2,7,"Hot, Neutral Pond with High Oxygen"
6,22,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
8,23.1,7.1,"Hot, Neutral Pond with High Oxygen"
8,14.4,7.1,"Cool, Neutral Stream with High Oxygen"
10,21.1,6.8,"Hot, Neutral Pond with High Oxygen"
8,14.6,7.2,"Cool, Neutral Stream with High Oxygen"
8,14,7.5,"Cool, Neutral Stream with High Oxygen"
4,12,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,11,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8,10.8,7,"Cool, Neutral Stream with High Oxygen"
8,21.5,7.2,"Hot, Neutral Pond with High Oxygen"
7,9.2,7,"Cold, Neutral River with Moderate Oxygen"
7,10,7,"Cold, Neutral River with Moderate Oxygen"
7,8,7,"Cold, Neutral River with Moderate Oxygen"
10,12,7.5,"Cool, Neutral Stream with High Oxygen"
4.6,16,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,20,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
7,8,7,"Cold, Neutral River with Moderate Oxygen"
3.4,11,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.6,17,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5,20,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,11,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
2.8,17,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6,5,7,"Cold, Neutral River with Moderate Oxygen"
4.2,18,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
5.8,7,7,"Cold, Neutral River with Moderate Oxygen"
3.7,15,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.4,8,7,"Cold, Neutral River with Moderate Oxygen"
6,5.6,6.5,"Cold, Neutral River with Moderate Oxygen"
10,21,7,"Hot, Neutral Pond with High Oxygen"
2,10,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
7.7,29,7.1,"Hot, Neutral Pond with High Oxygen"
7.1,29,7.1,"Hot, Neutral Pond with High Oxygen"
6.7,29,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
6,28,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
6,29,7,"Tropical, Neutral Lake with Moderate Oxygen"
6,24,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
4,29,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
6,29.8,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
3,27.3,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
8,27.3,7,"Hot, Neutral Pond with High Oxygen"
8,27.5,7,"Hot, Neutral Pond with High Oxygen"
8,28.7,7,"Hot, Neutral Pond with High Oxygen"
6,29,7,"Tropical, Neutral Lake with Moderate Oxygen"
6,29,7,"Tropical, Neutral Lake with Moderate Oxygen"
8,28.3,7,"Hot, Neutral Pond with High Oxygen"
8,28,7,"Hot, Neutral Pond with High Oxygen"
8,15,7.5,"Cool, Neutral Stream with High Oxygen"
4,25,8,"Warm, Slightly Alkaline Lake with Low Oxygen"
11,10,7.5,"Cool, Neutral Stream with High Oxygen"
5,22,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
11,15,7.5,"Cool, Neutral Stream with High Oxygen"
3,18,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,12,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,10,7,"Cool, Neutral Stream with High Oxygen"
5.8,29,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
5.9,28,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
6.8,25,7.1,"Tropical, Neutral Lake with Moderate Oxygen"
6,23,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
6.2,24.3,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.8,29,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.9,23,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
7.1,20,7.2,"Hot, Neutral Pond with High Oxygen"
5.3,27,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
4.8,23,7.2,"Tropical, Neutral Lake with Moderate Oxygen"
5.1,23,6.9,"Tropical, Neutral Lake with Moderate Oxygen"
5.4,23,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
9,11,7.2,"Cool, Neutral Stream with High Oxygen"
8,12.7,7.4,"Cool, Neutral Stream with High Oxygen"
8.8,12.2,7.3,"Cool, Neutral Stream with High Oxygen"
9,13.6,7.5,"Cool, Neutral Stream with High Oxygen"
9.2,13.3,7.5,"Cool, Neutral Stream with High Oxygen"
5,15.4,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,22,7.1,"Hot, Neutral Pond with High Oxygen"
10.3,12.6,7.3,"Cool, Neutral Stream with High Oxygen"
11.7,13.1,7,"Cool, Neutral Stream with High Oxygen"
3.3,14.7,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9.3,10.3,7.5,"Cool, Neutral Stream with High Oxygen"
5,26,7,"Tropical, Neutral Lake with Moderate Oxygen"
4.4,28,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
9,15,7.1,"Cool, Neutral Stream with High Oxygen"
3.6,12,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9.4,14,7,"Cool, Neutral Stream with High Oxygen"
10,11,7.3,"Cool, Neutral Stream with High Oxygen"
9.8,10,7.5,"Cool, Neutral Stream with High Oxygen"
5,12,6,"Cool, Acidic River with Moderate Oxygen"
12,11,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
7,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,9,7,"Cold, Neutral River with Moderate Oxygen"
10,12,7,"Cool, Neutral Stream with High Oxygen"
3.1,11,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6,10,6.6,"Cold, Neutral River with Moderate Oxygen"
10,10,7.5,"Cool, Neutral Stream with High Oxygen"
8,11,7.5,"Cool, Neutral Stream with High Oxygen"
8,10,7.5,"Cool, Neutral Stream with High Oxygen"
10,15,7,"Cool, Neutral Stream with High Oxygen"
2,12,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
10,15,7,"Cool, Neutral Stream with High Oxygen"
11,11.8,7.5,"Cool, Neutral Stream with High Oxygen"
8.4,12,7.3,"Cool, Neutral Stream with High Oxygen"
6,26,7,"Tropical, Neutral Lake with Moderate Oxygen"
6,25.5,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
7,25.5,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
6,22.7,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
7,25,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
6,26.5,7.5,"Tropical, Neutral Lake with Moderate Oxygen"
5.5,22,6.2,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5.5,20,6.2,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5.5,21,6.3,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5.5,20,6.3,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
5,21,6,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
8,21,6.8,"Hot, Neutral Pond with High Oxygen"
3.3,19,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
8,20,7,"Hot, Neutral Pond with High Oxygen"
8.6,11,7.2,"Cool, Neutral Stream with High Oxygen"
5,26,7.5,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.2,16,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9,15,7.5,"Cool, Neutral Stream with High Oxygen"
4.8,17.5,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,17.2,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
11.3,12.5,7.1,"Cool, Neutral Stream with High Oxygen"
6.5,5,6.7,"Cold, Neutral River with Moderate Oxygen"
3.2,16.5,7.5,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.9,14,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,13.9,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.4,15,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6.8,9,7,"Cold, Neutral River with Moderate Oxygen"
10.8,10,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.2,10,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
6.5,7,6.5,"Cold, Neutral River with Moderate Oxygen"
8,12.8,7.2,"Cool, Neutral Stream with High Oxygen"
9.5,11.9,7,"Cool, Neutral Stream with High Oxygen"
9.2,12,7.2,"Cool, Neutral Stream with High Oxygen"
7,12,5.8,"Cool, Acidic River with Moderate Oxygen"
5.3,12,6,"Cool, Acidic River with Moderate Oxygen"
6.4,13,6,"Cool, Acidic River with Moderate Oxygen"
6.1,12,6,"Cool, Acidic River with Moderate Oxygen"
7,12,5.8,"Cool, Acidic River with Moderate Oxygen"
5.2,11,6,"Cool, Acidic River with Moderate Oxygen"
4.9,13.8,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
7,12,6,"Cool, Acidic River with Moderate Oxygen"
8,12.7,6.9,"Cool, Neutral Stream with High Oxygen"
8,11,7.5,"Cool, Neutral Stream with High Oxygen"
8,13,7.5,"Cool, Neutral Stream with High Oxygen"
8.6,12.8,7.1,"Cool, Neutral Stream with High Oxygen"
10.6,12.9,6.5,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
4.2,14.3,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
11.3,14.4,6.9,"Cool, Neutral Stream with High Oxygen"
4.5,14.8,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3.7,11.3,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9.3,22.3,7.2,"Hot, Neutral Pond with High Oxygen"
8.4,11.8,7.3,"Cool, Neutral Stream with High Oxygen"
8.8,13.8,6.9,"Cool, Neutral Stream with High Oxygen"
9.1,14.4,7,"Cool, Neutral Stream with High Oxygen"
10.7,12.4,7.2,"Cool, Neutral Stream with High Oxygen"
8.6,22.8,7.2,"Hot, Neutral Pond with High Oxygen"
10.7,11.9,7.3,"Cool, Neutral Stream with High Oxygen"
9,13,7.5,"Cool, Neutral Stream with High Oxygen"
6,8,7.1,"Cold, Neutral River with Moderate Oxygen"
4.3,11.7,7.8,"Temperate, Slightly Alkaline Lake with Low Oxygen"
6,22,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,15.7,7.2,"Temperate, Slightly Alkaline Lake with Low Oxygen"
9,23,7,"Hot, Neutral Pond with High Oxygen"
11.3,14,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
12,10,7,"Cool, Neutral Stream with High Oxygen"
8,20,7,"Hot, Neutral Pond with High Oxygen"
8,23,7,"Hot, Neutral Pond with High Oxygen"
12,10,7.5,"Cool, Neutral Stream with High Oxygen"
8,10,7.5,"Cool, Neutral Stream with High Oxygen"
5,11,5.5,"Cool, Acidic River with Moderate Oxygen"
11.6,15,7.1,"Cool, Neutral Stream with High Oxygen"
3.1,15,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
3,14,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
11.8,12,7.1,"Cool, Neutral Stream with High Oxygen"
2.9,11.5,7,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4.6,14,7.1,"Temperate, Slightly Alkaline Lake with Low Oxygen"
4,27.3,7,"Tropical, Neutral Lake with Moderate Oxygen"
4.8,29,7.3,"Tropical, Neutral Lake with Moderate Oxygen"
3.8,27.5,7.7,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.4,28.1,7,"Tropical, Neutral Lake with Moderate Oxygen"
5,27.3,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
5,28.1,7.6,"Warm, Slightly Alkaline Lake with Low Oxygen"
5,28.8,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.4,28,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.4,28.4,7,"Tropical, Neutral Lake with Moderate Oxygen"
3,28,7.7,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.8,27.8,7.6,"Warm, Slightly Alkaline Lake with Low Oxygen"
4.6,28,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
3.8,28.3,7.9,"Warm, Slightly Alkaline Lake with Low Oxygen"
6.6,23.5,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
8.2,13.3,7.5,"Cool, Neutral Stream with High Oxygen"
5.8,22.5,7.4,"Tropical, Neutral Lake with Moderate Oxygen"
3.2,17.1,7.3,"Temperate, Slightly Alkaline Lake with Low Oxygen"
12,12.5,7.4,"Cool, Neutral Stream with High Oxygen"
7,22.5,6.6,"Tropical, Neutral Lake with Moderate Oxygen"
7,22,6.7,"Tropical, Neutral Lake with Moderate Oxygen"
5,22,6.2,"Warm, Slightly Acidic Pond with Low to Moderate Oxygen"
11,11.5,6.4,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
11.6,10,6,"Temperate, Slightly Acidic Wetland with Very High Oxygen"
10.6,10.6,7,"Cool, Neutral Stream with High Oxygen"
6,5,7.2,"Cold, Neutral River with Moderate Oxygen"
10,10.1,7.2,"Cool, Neutral Stream with High Oxygen"
10.4,14.8,7.1,"Cool, Neutral Stream with High Oxygen"
8.7,14.1,7.1,"Cool, Neutral Stream with High Oxygen"
11.3,10.5,7.5,"Cool, Neutral Stream with High Oxygen"
9.1,14.4,7.5,"Cool, Neutral Stream with High Oxygen"
4.8,27.5,7.8,"Warm, Slightly Alkaline Lake with Low Oxygen"
